Item,Function,Manufacturer,Part Number,Quantity,Estimated Unit Cost USD,Estimated Extended Cost USD,Datasheet Or Source,Notes
1,MCU wireless module,Espressif,ESP32-S3-WROOM-1-N16R8,1,4.50-7.00,4.50-7.00,https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,WiFi BLE 16MB flash 8MB PSRAM
2,Humidity and outlet temperature sensor,Sensirion,SHT41-AD1B-R2,1,1.94-2.95,1.94-2.95,https://sensirion.com/products/catalog/SHT41,I2C RH and temperature sensor
3,Heater-zone temperature sensor,Texas Instruments,TMP117AIDRVR,1,2.50-5.00,2.50-5.00,https://www.ti.com/product/TMP117,High-accuracy digital temperature sensor
4,Isolated AC-DC supply,MEAN WELL,IRM-10-12,1,5.00-9.00,5.00-9.00,https://www.meanwell.com/Upload/PDF/IRM-10/IRM-10-SPEC.PDF,12V 10W PCB module
5,3.3V buck regulator,Texas Instruments,TPS54302DDCR,1,0.65-1.33,0.65-1.33,https://www.ti.com/product/TPS54302,12V to 3.3V logic rail
6,Optional sensor LDO,Diodes Inc.,AP2112K-3.3TRG1,1,0.10-0.40,0.10-0.40,https://www.diodes.com/part/view/AP2112,Populate only if needed for quiet sensor rail
7,Optotriac driver,onsemi,MOC3063M,1,0.50-1.20,0.50-1.20,https://www.onsemi.com/pdf/datasheet/moc3163m-d.pdf,Zero-cross isolated AC heater driver
8,AC heater triac,STMicroelectronics,BTA16-600BW or BTA16-800BW,1,1.00-2.50,1.00-2.50,https://www.st.com/resource/en/datasheet/bta16.pdf,Final voltage chosen by AC region and surge margin
9,Fan or blower candidate,Delta Electronics,BFB0524HH-R00,1-4,8.00-18.00,8.00-72.00,https://www.digikey.com/en/products/detail/delta-electronics/BFB0524HH-R00/11563291,Quantity depends on outlet architecture
10,Small load MOSFET,Infineon,IRLML6344TRPbF,2-6,0.10-0.35,0.20-2.10,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irlml6344-datasheet-en.pdf,For fan enable relay coil buzzer LED loads within thermal limits
11,Optional motor driver,Texas Instruments,DRV8871DDAR,0-1,1.50-3.50,0.00-3.50,https://www.ti.com/product/DRV8871,Only if final motor is brushed DC
12,AC MOV,Littelfuse,V14E275P,1,0.30-0.70,0.30-0.70,https://www.littelfuse.com/products/overvoltage-protection/varistors/radial-leaded-varistors/ultramov/v14e275p,Surge protection final rating to be validated
13,Input fuse,Bel Fuse,5HT or 5HTP series,1,0.20-0.80,0.20-0.80,https://www.belfuse.com/media/datasheets/products/circuit-protection/ds-cp-5ht-5htp-series.pdf,Current rating TBD after load selection
14,Thermal cutoff,Cantherm,Thermal cutoff Tf TBD,1-2,0.50-2.00,0.50-4.00,https://www.cantherm.com/wp-content/uploads/2017/05/Thermal_Cutoff_11x17_SEPT_2016.pdf,Independent heater safety path
15,Connector ESD,STMicroelectronics,USBLC6-2SC6,1-3,0.10-0.35,0.10-1.05,https://www.st.com/resource/en/datasheet/usblc6-2.pdf,Use on USB or exposed low-voltage signal ports
16,PTC heater assembly candidate,DBK Industrial,HRP insulated PTC air heater family,1,15.00-60.00,15.00-60.00,https://datasheets.dbk-worldwide.com/EN/Datasheets/PTCFinnedResistorHeaters/DBKITM_HRP%20w%20frame_eng.pdf,Final heater likely custom wattage and geometry
17,Passives connectors PCB protection,Multiple,TBD,1 lot,8.00-25.00,8.00-25.00,TBD,Includes resistors capacitors inductors connectors snubbers test pads headers
18,Estimated electronics subtotal,TBD,TBD,1,48.49-198.53,48.49-198.53,TBD,Wide range reflects fan/heater/outlet architecture uncertainty

